MaxN

Generated: Wednesday, July 06, 2016 10:16:38

Filename	Frame	Time (mins)	Period	Period time (mins)	OpCode	Tape Reader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
MNCB280_L425.avi	   7711				MNCB280	Molly											Mullidae	Parupeneus	barberinoides	37355021	7	No
MNCB280_L425.avi	  57506				MNCB280	Molly											Mullidae	Parupeneus	indicus	37355005	2	No
MNCB280_L425.avi	  47564				MNCB280	Molly											Nemipteridae	Pentapodus	emeryii	37347027	3	Yes
MNCB280_L425.avi	   9369				MNCB280	Molly											Pomacentridae	Pomacentrus	coelestis	37372111	11	No
MNCB280_L425.avi	  11930				MNCB280	Molly											Serranidae	Epinephelus	rivulatus	37311022	1	No
MNCB282_L511.avi	   6129	   3.4084			MNCB282	Molly											Acanthuridae	Acanthurus	dussumieri	37437008	1	No
MNCB282_L511.avi	   6129	   3.4084			MNCB282	Molly											Acanthuridae	Acanthurus	grammoptilus	37437002	3	No
MNCB282_L511.avi	  13059	   7.2623			MNCB282	Molly											Balistidae	Sufflamen	chrysopterum	37465079	1	No
MNCB282_L511.avi	  57544	  32.0009			MNCB282	Molly											Chaetodontidae	Chaetodon	aureofasciatus	37365013	1	No
MNCB282_L511.avi	  34748	  19.3238			MNCB282	Molly											Chaetodontidae	Chaetodon	auriga	37365019	1	No
MNCB282_L511.avi	  82676	  45.9771			MNCB282	Molly											Chaetodontidae	Chelmon	marginalis	37365007	2	No
MNCB282_L511.avi	   9402	   5.2286			MNCB282	Molly											Labridae	Choerodon	cauteroma	37384005	2	No
MNCB282_L511.avi	  30798	  17.1271			MNCB282	Molly											Labridae	Hemigymnus	melapterus	37384125	1	No
MNCB282_L511.avi	 105463	  58.6492			MNCB282	Molly											Labridae	Hologymnosus	annulatus	37384126	1	No
MNCB282_L511.avi	  24704	  13.7382			MNCB282	Molly											Labridae	Thalassoma	lunare	37384167	1	No
MNCB282_L511.avi	  37760	  20.9988			MNCB282	Molly											Lethrinidae	Lethrinus	nebulosus	37351008	3	No
MNCB282_L511.avi	  37976	  21.1189			MNCB282	Molly											Lutjanidae	Symphorus	nematophorus	37346017	1	No
MNCB282_L511.avi	   6275	   3.4896			MNCB282	Molly											Mullidae	Parupeneus	indicus	37355005	1	No
MNCB282_L511.avi	  33109	  18.4123			MNCB282	Molly											Nemipteridae	Pentapodus	emeryii	37347027	3	Yes
MNCB282_L511.avi	   8760	   4.8715			MNCB282	Molly											Nemipteridae	Scolopsis	monogramma	37347006	1	No
MNCB282_L511.avi	   5511	   3.0647			MNCB282	Molly											Pomacentridae	Abudefduf	bengalensis	37372003	1	No
MNCB282_L511.avi	  53492	  29.7475			MNCB282	Molly											Scaridae	Scarus	psittacus	37386024	1	No
MNCB282_L511.avi	   6305	   3.5063			MNCB282	Molly											Scaridae	Scarus	sp3		4	No
MNCB282_L511.avi	   9714	   5.4021			MNCB282	Molly											Serranidae	Epinephelus	bilobatus	37311062	1	No
MNCB282_L511.avi	  30523	  16.9742			MNCB282	Molly											Serranidae	Plectropomus	spp		1	No
